track_id,track_name,artist,album,album_image,rank,term,duration_ms,explicit
2dTQe0W5KXs6TNVV7yi2oS,Adiwele (feat. Kabza De Small & DJ Maphorisa),Young Stunna,Notumato,https://i.scdn.co/image/ab67616d0000b273de1efe9b284e71ce2fd4078a,1,short_term,471428,False
5PbC6AM2diHeIpEpY8a51o,Mombasa,Marioo,MMMCXII,https://i.scdn.co/image/ab67616d0000b273f87d9c63b5c106f0560bfc06,2,short_term,163043,False
1BncfTJAWxrsxyT9culBrj,Experience,Ludovico Einaudi,In A Time Lapse,https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5,3,short_term,315426,False
1oUnBe0RDlneJQxuezHxa6,ICARUS,Tony Ann,EMOTIONS (Deluxe),https://i.scdn.co/image/ab67616d0000b273f7b3492e380752375780157b,4,short_term,199467,False
4JsY8jABuA5rJcGTAhnMue,Baba Yangu,jackson benty,Baba Yangu,https://i.scdn.co/image/ab67616d0000b273b8ac2ebc3cf2bc7f046c9ca1,5,short_term,397061,True
27tNWlhdAryQY04Gb2ZhUI,Roar,Katy Perry,PRISM,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22,6,short_term,223546,False
0fV2w5yQaawHPa4Wgbvatq,Hapa Nilipo,UPENDO NKONE,Hapa Nilipo,https://i.scdn.co/image/ab67616d0000b273418511226ad69f085ef6d69c,7,short_term,460251,False
6qXdAsUH8I7j3A0d7sX6qz,What If I Say,Fireboy DML,"Laughter, Tears & Goosebumps",https://i.scdn.co/image/ab67616d0000b273b747618b16bff54d5cd70325,8,short_term,213916,False
1p0zeYPLjmIGtw1DzmshZO,Nakupenda,TxC,Nakupenda,https://i.scdn.co/image/ab67616d0000b273f91f29f049af023cc69b3d9f,9,short_term,333451,True
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,SWAG,https://i.scdn.co/image/ab67616d0000b273d65c4773bc5061fd27facc5b,10,short_term,163866,False
6O2hrfRRPBJ59PwKhSKFHz,Ogechi (feat. Davido) - Remix,BoyPee,Ogechi (feat. Davido) [Remix],https://i.scdn.co/image/ab67616d0000b2731fbc2a1d798ba2b2fbf8101c,11,short_term,192262,False
3HCZlM8G03ely2mj6nHiJV,Lengoma (feat. Sami'Kay & Misokuhle),MSA,Lengoma (feat. Sami'Kay & Misokuhle),https://i.scdn.co/image/ab67616d0000b27335bb4adf78af29614fb40d11,12,short_term,311867,False
3iVcZ5G6tvkXZkZKlMpIUs,Alright,Kendrick Lamar,To Pimp A Butterfly,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,13,short_term,219333,True
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,Tha Carter V,https://i.scdn.co/image/ab67616d0000b273bb1138165ad4ec2306f4e886,14,short_term,324189,True
00eG8dkiuInSQuziVmKQyu,SUGAR,Marioo,MMMCXII,https://i.scdn.co/image/ab67616d0000b273f87d9c63b5c106f0560bfc06,15,short_term,142079,False
1ttPzkTSpQUFcEGx8bjerL,Every Season,Roddy Ricch,Feed Tha Streets II,https://i.scdn.co/image/ab67616d0000b273434f4eeb4231f6f4862cafd4,16,short_term,214375,True
